LSiSi/LNaNa,LSiSi/LHH,log_a,log_b
b,c,1.21,1.92
b,c,1.21,1.9300000000000002
b,c,1.21,1.94
b,c,1.21,1.9500000000000002
b,c,1.21,1.96
b,c,1.21,1.9700000000000002
b,c,1.21,1.98
b,c,1.21,1.9900000000000002
b,c,1.21,2.0
b,c,1.2200000000000002,1.8399999999999999
b,c,1.2200000000000002,1.85
b,c,1.2200000000000002,1.8599999999999999
b,c,1.2200000000000002,1.87
b,c,1.2200000000000002,1.88
b,c,1.2200000000000002,1.8900000000000001
b,c,1.2200000000000002,1.9
b,c,1.2200000000000002,1.9100000000000001
b,c,1.2200000000000002,1.92
b,c,1.2200000000000002,1.9300000000000002
b,c,1.2200000000000002,1.94
b,c,1.2200000000000002,1.9500000000000002
b,c,1.2200000000000002,1.96
b,c,1.2200000000000002,1.9700000000000002
b,c,1.2200000000000002,1.98
b,c,1.2200000000000002,1.9900000000000002
b,c,1.2200000000000002,2.0
b,c,1.23,1.77
b,c,1.23,1.7799999999999998
b,c,1.23,1.79
b,c,1.23,1.7999999999999998
b,c,1.23,1.81
b,c,1.23,1.8199999999999998
b,c,1.23,1.83
b,c,1.23,1.8399999999999999
b,c,1.23,1.85
b,c,1.23,1.8599999999999999
b,c,1.23,1.87
b,c,1.23,1.88
b,c,1.23,1.8900000000000001
b,c,1.23,1.9
b,c,1.23,1.9100000000000001
b,c,1.23,1.92
b,c,1.23,1.9300000000000002
b,c,1.23,1.94
b,c,1.23,1.9500000000000002
b,c,1.23,1.96
b,c,1.23,1.9700000000000002
b,c,1.23,1.98
b,c,1.23,1.9900000000000002
b,c,1.23,2.0
b,c,1.2400000000000002,1.7200000000000002
b,c,1.2400000000000002,1.73
b,c,1.2400000000000002,1.7400000000000002
b,c,1.2400000000000002,1.75
b,c,1.2400000000000002,1.7599999999999998
b,c,1.2400000000000002,1.77
b,c,1.2400000000000002,1.7799999999999998
b,c,1.2400000000000002,1.79
b,c,1.2400000000000002,1.7999999999999998
b,c,1.2400000000000002,1.81
b,c,1.2400000000000002,1.8199999999999998
b,c,1.2400000000000002,1.83
b,c,1.2400000000000002,1.8399999999999999
b,c,1.2400000000000002,1.85
b,c,1.2400000000000002,1.8599999999999999
b,c,1.2400000000000002,1.87
b,c,1.2400000000000002,1.88
b,c,1.2400000000000002,1.8900000000000001
b,c,1.2400000000000002,1.9
b,c,1.2400000000000002,1.9100000000000001
b,c,1.2400000000000002,1.92
b,c,1.2400000000000002,1.9300000000000002
b,c,1.2400000000000002,1.94
b,c,1.2400000000000002,1.9500000000000002
b,c,1.2400000000000002,1.96
b,c,1.2400000000000002,1.9700000000000002
b,c,1.2400000000000002,1.98
b,c,1.2400000000000002,1.9900000000000002
b,c,1.2400000000000002,2.0
b,c,1.25,1.67
b,c,1.25,1.6800000000000002
b,c,1.25,1.69
b,c,1.25,1.7000000000000002
b,c,1.25,1.71
b,c,1.25,1.7200000000000002
b,c,1.25,1.73
b,c,1.25,1.7400000000000002
b,c,1.25,1.75
b,c,1.25,1.7599999999999998
b,c,1.25,1.77
b,c,1.25,1.7799999999999998
b,c,1.25,1.79
b,c,1.25,1.7999999999999998
b,c,1.25,1.81
b,c,1.25,1.8199999999999998
b,c,1.25,1.83
b,c,1.25,1.8399999999999999
b,c,1.25,1.85
b,c,1.25,1.8599999999999999
b,c,1.25,1.87
b,c,1.25,1.88
b,c,1.25,1.8900000000000001
b,c,1.25,1.9
b,c,1.25,1.9100000000000001
b,c,1.25,1.92
b,c,1.25,1.9300000000000002
b,c,1.25,1.94
b,c,1.25,1.9500000000000002
b,c,1.25,1.96
b,c,1.25,1.9700000000000002
b,c,1.25,1.98
b,c,1.25,1.9900000000000002
b,c,1.25,2.0
b,c,1.2599999999999998,1.62
b,c,1.2599999999999998,1.63
b,c,1.2599999999999998,1.6400000000000001
b,c,1.2599999999999998,1.65
b,c,1.2599999999999998,1.6600000000000001
b,c,1.2599999999999998,1.67
b,c,1.2599999999999998,1.6800000000000002
b,c,1.2599999999999998,1.69
b,c,1.2599999999999998,1.7000000000000002
b,c,1.2599999999999998,1.71
b,c,1.2599999999999998,1.7200000000000002
b,c,1.2599999999999998,1.73
b,c,1.2599999999999998,1.7400000000000002
b,c,1.2599999999999998,1.75
b,c,1.2599999999999998,1.7599999999999998
b,c,1.2599999999999998,1.77
b,c,1.2599999999999998,1.7799999999999998
b,c,1.2599999999999998,1.79
b,c,1.2599999999999998,1.7999999999999998
b,c,1.2599999999999998,1.81
b,c,1.2599999999999998,1.8199999999999998
b,c,1.2599999999999998,1.83
b,c,1.2599999999999998,1.8399999999999999
b,c,1.2599999999999998,1.85
b,c,1.2599999999999998,1.8599999999999999
b,c,1.2599999999999998,1.87
b,c,1.2599999999999998,1.88
b,c,1.2599999999999998,1.8900000000000001
b,c,1.2599999999999998,1.9
b,c,1.2599999999999998,1.9100000000000001
b,c,1.2599999999999998,1.92
b,c,1.2599999999999998,1.9300000000000002
b,c,1.2599999999999998,1.94
b,c,1.2599999999999998,1.9500000000000002
b,c,1.2599999999999998,1.96
b,c,1.2599999999999998,1.9700000000000002
b,c,1.2599999999999998,1.98
b,c,1.2599999999999998,1.9900000000000002
b,c,1.2599999999999998,2.0
b,c,1.27,1.58
b,c,1.27,1.5899999999999999
b,c,1.27,1.6
b,c,1.27,1.6099999999999999
b,c,1.27,1.62
b,c,1.27,1.63
b,c,1.27,1.6400000000000001
b,c,1.27,1.65
b,c,1.27,1.6600000000000001
b,c,1.27,1.67
b,c,1.27,1.6800000000000002
b,c,1.27,1.69
b,c,1.27,1.7000000000000002
b,c,1.27,1.71
b,c,1.27,1.7200000000000002
b,c,1.27,1.73
b,c,1.27,1.7400000000000002
b,c,1.27,1.75
b,c,1.27,1.7599999999999998
b,c,1.27,1.77
b,c,1.27,1.7799999999999998
b,c,1.27,1.79
b,c,1.27,1.7999999999999998
b,c,1.27,1.81
b,c,1.27,1.8199999999999998
b,c,1.27,1.83
b,c,1.27,1.8399999999999999
b,c,1.27,1.85
b,c,1.27,1.8599999999999999
b,c,1.27,1.87
b,c,1.27,1.88
b,c,1.27,1.8900000000000001
b,c,1.27,1.9
b,c,1.27,1.9100000000000001
b,c,1.27,1.92
b,c,1.27,1.9300000000000002
b,c,1.27,1.94
b,c,1.27,1.9500000000000002
b,c,1.27,1.96
b,c,1.27,1.9700000000000002
b,c,1.27,1.98
b,c,1.27,1.9900000000000002
b,c,1.27,2.0
b,c,1.2799999999999998,1.5499999999999998
b,c,1.2799999999999998,1.56
b,c,1.2799999999999998,1.5699999999999998
b,c,1.2799999999999998,1.58
b,c,1.2799999999999998,1.5899999999999999
b,c,1.2799999999999998,1.6
b,c,1.2799999999999998,1.6099999999999999
b,c,1.2799999999999998,1.62
b,c,1.2799999999999998,1.63
b,c,1.2799999999999998,1.6400000000000001
b,c,1.2799999999999998,1.65
b,c,1.2799999999999998,1.6600000000000001
b,c,1.2799999999999998,1.67
b,c,1.2799999999999998,1.6800000000000002
b,c,1.2799999999999998,1.69
b,c,1.2799999999999998,1.7000000000000002
b,c,1.2799999999999998,1.71
b,c,1.2799999999999998,1.7200000000000002
b,c,1.2799999999999998,1.73
b,c,1.2799999999999998,1.7400000000000002
b,c,1.2799999999999998,1.75
b,c,1.2799999999999998,1.7599999999999998
b,c,1.2799999999999998,1.77
